IDENTIFIER,SPECIES,STRAIN,PLATENUM,PLATEPOSITION,,Growth,Condition,Environment
25-395P-1,Rhodotorula alborubescens,TFCN_25-395P-1,1,A1,1,3,pH3,marsh_tidalflat
17-267M-1,Rhodotorula alborubescens,TFCN_17-267M-1,1,B1,2,3,pH3,marsh_tidalflat
17-291Y-1,Rhodotorula alborubescens,TFCN_17-291Y-1,1,C1,3,3,pH3,marsh_tidalflat
17Y-278-1,Rhodotorula alborubescens,TFCN_17Y-278-1,1,D1,4,3,pH3,marsh_tidalflat
17-0-2E390-1,Rhodotorula alborubescens,TFCN_17-0-2E390-1,1,E1,5,3,pH3,marsh_tidalflat
17-390M-1,Rhodotorula alborubescens,TFCN_17-390M-1,1,F1,6,3,pH3,marsh_tidalflat
25-0-2E390-1,Rhodotorula alborubescens,TFCN_25-0-2E390-1,1,G1,7,3,pH3,marsh_tidalflat
Y-17376,Rhodotorula araucariae,NRRL_Y-17376,1,H1,8,1,pH3,plant
8058,Rhodotorula babjevae,DBVPG_8058,1,A2,9,3,pH3,food
Y-7196,Rhodotorula diobovata,NRRL_Y-7196,1,B2,10,3,pH3,unknown
6195,Rhodotorula diobovata,DBVPG_6195,1,C2,11,3,pH3,marine
6202,Rhodotorula diobovata,DBVPG_6202,1,D2,12,3,pH3,marine
211A-3,Rhodotorula diobovata,TFCN_211A-3,1,E2,13,3,pH3,marsh_tidalflat
17-331Y-3,Rhodotorula diobovata,TFCN_17-331Y-3,1,F2,14,3,pH3,marsh_tidalflat
212C-2,Rhodotorula diobovata,TFCN_212C-2,1,G2,15,3,pH3,marsh_tidalflat
7-9-2002,Rhodotorula diobovata,TFCN_7-9-2,1,H2,16,3,pH3,marsh_tidalflat
Y-2504,Rhodotorula dairenensis,NRRL_Y-2504,1,A3,17,0,pH3,soil
7W-292-3,Rhodotorula dairenensis,TFCN_7W-292-3,1,B3,18,3,pH3,marsh_tidalflat
3768,Rhodotorula dairenensis,DBVPG_3768,1,C3,19,3,pH3,soil
3770,Rhodotorula dairenensis,DBVPG_3770,1,D3,20,3,pH3,soil
3853,Rhodotorula dairenensis,DBVPG_3853,1,E3,21,3,pH3,plant
3983,Rhodotorula mucilaginosa,DBVPG_3983,1,F3,22,3,pH3,cave
3090,Rhodotorula mucilaginosa,DBVPG_3090,1,G3,23,3,pH3,food
3235,Rhodotorula mucilaginosa,DBVPG_3235,1,H3,24,3,pH3,food
RGl 3380,Rhodotorula glutinis,DBVPG_3380,1,A4,25,3,pH3,plant
